AS        update_frequency
11537       40194
11686      508606
1221       308646
1239       233505
1299       573412
13030      618443
1403      1025632
1668       500618
18106      754223
200130     804404
202018    1057623
20912      443681
2152       358522
22652      411678
23673      340880
24441      765719
2497       347513
286        998361
2905        35044
2914       688527
293        302484
31019      363436
3130       899825
3257       309812
3277       471666
3303       340811
3356       500061
34224      374242
3549      1670556
3561       290190
37100      836923
3741       360484
393406    1106781
40191      752112
47872     1076337
49788     1098942
53364      627469
53767      368226
5413       286490
54728      321144
57463      446648
57866      974462
58511     1187855
62567     1121054
6539       250715
6762       518976
6939      1155795
701        201971
7018       645873
7660       430324
8492      1007742
852        509542

